Tim <extra_id_0> m.jin.	<extra_id_0> brzadem żëwią sã <extra_id_1>
Karno je założony w 1971 r. i do dzysô je propagatorã <extra_id_0> na rozmajitëch jimprezach i ùroczëznach òrganizowónëch w kraju, jak téż za grëńcama.	<extra_id_0> bòkadnégò kaszëbsczégò fòlkloru <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 109 <extra_id_1>
Nie spełniło również <extra_id_0> o przekazanie dowodów, poświadczających jej skuteczność, w celu poddania ich niezależnym badaniom.	<extra_id_0> próśb organizacji międzynarodowych <extra_id_1>
Awarii ulega <extra_id_0> nawozów.	<extra_id_0> jedynie system rozpylania <extra_id_1>
Do <extra_id_0> lubiszewskò-swiecczi ksãżstwò.	<extra_id_0> swòjégò państwa przëłącził <extra_id_1>
Na terenie rezerwatu <extra_id_0> turystyczne.	<extra_id_0> wytyczono piesze szlaki <extra_id_1>
Ze względów technicznych (na płycie CD możne znajdować się tylko 99 utworów) <extra_id_0> zapisano trzy utwory.	<extra_id_0> na ostatniej ścieżce <extra_id_1>
Rozważanie Meditacjô, zwónô téż rozważiwaniém czë rozmëslaniém, to ôrt mòdlëtwë pòlegający <extra_id_0> Bòga swòich mësli, zwrôcani sã do Niegò w cëszi, bez użëwóni wëùczonëch fòrmùł.	<extra_id_0> na czerowaniu do <extra_id_1>
Z innego punktu <extra_id_0> można zdefiniować jako naukę o definiowaniu i osiąganiu celów przy jednoczesnej maksymalnie możliwej optymalizacji użycia zasobów (np. czasu, pieniędzy, ludzi itd.).	<extra_id_0> widzenia, zarządzanie projektem <extra_id_1>
Jinszé <extra_id_0> paklepnik, oktober ë rujan (chòrwacczi neòlogizm).	<extra_id_0> kaszëbsczé miona: pajicznik, <extra_id_1>
Pólnô szczawa (Rumex acetosella) - to je <extra_id_0> rodzëznë dërdestowatëch.	<extra_id_0> wielelatnô roscëna z <extra_id_1>
Kòszalëno (we <extra_id_0> pòl.	<extra_id_0> zdrojach: Kòszaléno (Cenôwa); <extra_id_1>
Wielki <extra_id_0> 2018 r. –	<extra_id_0> mistrz zakonu od <extra_id_1>
W <extra_id_0> czej wëbùchła wòjna tëreckò-ruskô, Mickewicz wëjachôł do Kònstantynopòla, chcącë sfòrmòwac legión, chterën bë biôtkòwôł sã z Rusczima.	<extra_id_0> rujanie tegò rokù, <extra_id_1>
Trzecô misyjnô réza bawiła <extra_id_0> objimala obéńdę mni wicy tak wiôlgą jak réza drëgô.	<extra_id_0> nôdłeżi (53-58) i <extra_id_1>
Obie <extra_id_0> korytarz drogowy nazywany „Podravina Y”.	<extra_id_0> trasy miały tworzyć <extra_id_1>
Ùsztôłcenié <extra_id_0> za Miesądzã: są na nim wielné ùderzeniowi kraterë i prakticzno brak je atmòsferë.	<extra_id_0> plónu Merkùrégò szlachùje <extra_id_1>
To je jegò nôwikszi dokôz, chtëren zagwësnił <extra_id_0> w dzejach całi kaszëbsczi pismieniznë.	<extra_id_0> mù pòczestny môl <extra_id_1>
To je administracjowi ë politiczny òstrzódk (sedzba prezydenta, minysterstwów <extra_id_0> ë przédny gard adminystracjowò-historicznégò Lacjum.	<extra_id_0> ë ùrzãdów); stolëca <extra_id_1>
Ùstawodôwcza <extra_id_0> Nôrodnégò Zgromadzeniô.	<extra_id_0> wëszëzna przënôlégô do <extra_id_1>
Wszëtczé zbòża, chtërné mają w se cëczer mògą pòddac sã ùrmòwi fermentacëje <extra_id_0> w lëfce.	<extra_id_0> dzãka dzëczim młodzóm <extra_id_1>
Pierwszy rok <extra_id_0> 66 egzemplarzy.	<extra_id_0> produkcji zakończono liczbą <extra_id_1>
Początki gastronomii molekularnej sięgają 1969 roku i prezentacji Nicolasa Kurtiego „Fizyk w kuchni”, zaś termin pojawił się <extra_id_0> początkowo (1998 roku) jako gastronomia molekularna i fizyczna.	<extra_id_0> w 1988 roku, <extra_id_1>
Sytuacja miejscowych <extra_id_0> systematycznie pogarszać od momentu przejęcia władzy przez Hitlera.	<extra_id_0> Żydów zaczęła się <extra_id_1>
Do <extra_id_0> materiał archiwalny z zakresu historii oraz sztuki Wilna i okolic, który pozostał w Wilnie.	<extra_id_0> wybuchu wojny zgromadził <extra_id_1>
Zabójstwo nie przyniosło jednak spodziewanych profitów, a stało <extra_id_0> panującej między dynastiami nienawiści.	<extra_id_0> się tylko zarzewiem <extra_id_1>
Zamieszkiwô lasaë, <extra_id_0> a nôbarżi lùbi lasë wewestrzôdku pôla.	<extra_id_0> pòela i łãczié <extra_id_1>
W <extra_id_0> m. jin.	<extra_id_0> tim parkù je <extra_id_1>
Òn béł <extra_id_0> rësznotë.	<extra_id_0> aktiwnym dzejôrzã mùzyczny <extra_id_1>
Pierszô zmiónka <extra_id_0> z 1274 rokù.	<extra_id_0> ò Karwiô pòchôdô <extra_id_1>
Tu są sta ekspònatów, <extra_id_0> rozmiec co to je wòjna.	<extra_id_0> chtërne pòmògają lepi <extra_id_1>
W latach 2007-09 był czołowym światowym zawodnik w <extra_id_0> leżąc.	<extra_id_0> konkurencji karabinu 50m <extra_id_1>
Przedstawiciele grup zajmujących się ochroną praw dzieci i praw zwierząt skrytykowali go ostro za narażenie syna na niebezpieczeństwo, aczkolwiek <extra_id_0> niemu formalnego oskarżenia.	<extra_id_0> nie wniesiono przeciw <extra_id_1>
Budowa, <extra_id_0> użytkowanie.	<extra_id_0> akcesoria, dobór i <extra_id_1>
Czôrnawi smùlsz <extra_id_0> to je smôrzcz z rodzëznë smùlszowatëch.	<extra_id_0> (Limax cinereoniger) - <extra_id_1>
Przë ni biwô <extra_id_0> i malënowi jãzëk.	<extra_id_0> ù dzecy gòrączka <extra_id_1>
Schronisko działało początkowo od <extra_id_0> 23 kwietnia.	<extra_id_0> 14 września do <extra_id_1>
Robi to wiedno <extra_id_0> na rozgracjach we wiôldżim pòsce abò agweńce.	<extra_id_0> w czasach zakôzónëch, <extra_id_1>
Tu ùrodzył sã 29.03.1918 rokù kapitena <extra_id_0> chtëren ùm.	<extra_id_0> pilota Gerat Kùnowsczi, <extra_id_1>
Wòjskò otoczëłò i ostrzelëłò Gduńsczi <extra_id_0> chtërni chcą wéńc do Òkrãtowni.	<extra_id_0> Òkrãtownë; bicé lëdzy, <extra_id_1>
Nie <extra_id_0> blëznégò.	<extra_id_0> pòżãdôj białczi swòjégò <extra_id_1>
Grad <extra_id_0> wiôldżi, òsoblëwie na sandrowëch òbéńdach.	<extra_id_0> lasowatoscë je tu <extra_id_1>
Wietrzné gòscëje <extra_id_0> chòroscą ù lëdzy - w dzecyjnëch latach.	<extra_id_0> (varicella) - są <extra_id_1>
Małe <extra_id_0> częstym miejscem zesłania.	<extra_id_0> wyspy były też <extra_id_1>
Pierwi pùrclë nadzewało <extra_id_0> abò òrzechem.	<extra_id_0> sã czasã migdałem <extra_id_1>
Alex dowiaduje <extra_id_0> powtórny egzamin.	<extra_id_0> się, że zdał <extra_id_1>
Nie <extra_id_0> emigrację.	<extra_id_0> udał się na <extra_id_1>
Niemożliwe jest <extra_id_0> literackiego bo gatunek "się przemieszcza" z peryferii do centrum za pomocą chwytów literackich.	<extra_id_0> podanie definicji gatunku <extra_id_1>
Kiedy zakłada maskę, staje <extra_id_0> psotniczym usposobieniu.	<extra_id_0> się herosem o <extra_id_1>
Kółeczka łącznikowe, podobnie jak inne <extra_id_0> być odporne na korozję.	<extra_id_0> drobne akcesoria, powinny <extra_id_1>
Zwónô je <extra_id_0> miru".	<extra_id_0> czãsto "Zemią pòrénszégò <extra_id_1>
Spiochë (Matthiola <extra_id_0> – to je roscëna z rodzëznë krziżowëch.	<extra_id_0> longipetala (Vent.) DC.) <extra_id_1>
Je jich corôz <extra_id_0> bëło ùrëchtowac dlô nich nocledżi.	<extra_id_0> wiãcy, dlôte trzeba <extra_id_1>
Janice zainteresowała <extra_id_0> spotykać się z Woodym Finkiem, a Jessica zaprzyjaźniła się z Bailey Pickett, choć Cody był przekonany że jest o nią zazdrosna.	<extra_id_0> Zacka, lecz zaczęła <extra_id_1>
Na krzebce mòże miec czôrné <extra_id_0> cygną sã òd głowë do ògòna.	<extra_id_0> pòdłùgòwaté lënie, jaczé <extra_id_1>
Jak òn béł na rusczi (smòléńsczi) wòjnie (1632-34), to za ùretóné - nad rzéką <extra_id_0> òn òbiecôł Bògù wëstwic kòscół.	<extra_id_0> Biôłą - żëcé, <extra_id_1>
Wszystkie <extra_id_0> sukcesu.	<extra_id_0> te nie przyniosły <extra_id_1>
W rezultacie katastrofy śmierć poniosły 73 osoby, <extra_id_0> zostało rannych.	<extra_id_0> a 85 osób <extra_id_1>
Bëłë to <extra_id_0> jintelektualny edukacji.	<extra_id_0> nôwôżniészé lata jegò <extra_id_1>
Béł òjcem <extra_id_0> kaszëbsczi kùlturë w Kanadze.	<extra_id_0> CSsR i dzejôrzem <extra_id_1>
Pòwierzchniô horizontu pòwstałi w ten sposób czôrny dzurë je tedë <extra_id_0> pòwierzchniô horizontów zderzających sã dzurów.	<extra_id_0> wiãkszô jak łącznô <extra_id_1>
Pòzwa z łacëznë Atropa wëwodzy sã òd <extra_id_0> trzech grecczich bòdziń przeznaczenia.	<extra_id_0> miona jednej z <extra_id_1>
Na skùtk tich procesów w latach sédemdzesątëch i òsemdzesątëch nôwikszi zmianë nastałë w Pùcczi <extra_id_0> nôbarżi pòdajny na cësk zgnojeniów òbéńdze Gduńsczi Hôwindżi.	<extra_id_0> Hôwindze, nôsnôdszi i <extra_id_1>
Miono systemë <extra_id_0> Linus (òd miona ùsôdzcë) ë òperacjowi systemë Unix.	<extra_id_0> je sparłączeniém słów <extra_id_1>
Dolina Jaworzynsczi, w chternej to gòrna granica lase znajdujã sã na wysokosczi <extra_id_0> npm i je najniżej pòłòżoną w calich Tatrë.	<extra_id_0> okole 1200 m <extra_id_1>
W I <extra_id_0> była własnością szkockiej rodziny Forbesów.	<extra_id_0> połowie XVII wieku <extra_id_1>
Późniejszy okres jego twórczości charakteryzuje się <extra_id_0> bogactwem szczegółów i przejaskrawieniem form.	<extra_id_0> specyficzną, spiralną kompozycją, <extra_id_1>
Znanką ti rasë je <extra_id_0> strzédno grëbô wełna.	<extra_id_0> długô, grëbô abò <extra_id_1>
Kadencja członków Rady trwała początkowo cztery, <extra_id_0> lat.	<extra_id_0> od 1974 pięć <extra_id_1>
Kariera <extra_id_0> dziedzinie.	<extra_id_0> naukowa w niepopularnej <extra_id_1>
Wësokô (we <extra_id_0> Vyssoka 1366, Noua Wyszoka 1521, Wissoka 1578, Wysoka, Wissek; pòl.	<extra_id_0> zdrojach: Visoka 1260, <extra_id_1>
W strzelaninach zginęły dwie <extra_id_0> zostały ranne.	<extra_id_0> osoby, a trzy <extra_id_1>
Wystawiane są <extra_id_0> wyborcze partii politycznych i wyborców biorące udział w wyborach.	<extra_id_0> one przez komitety <extra_id_1>
Sëlëczëno je turistnym òstrzódkã z wiele <extra_id_0> agrokwatérama.	<extra_id_0> wczasowima chëczama ë <extra_id_1>
Studiował filologię <extra_id_0> Monachium.	<extra_id_0> na uniwersytecie w <extra_id_1>
Powstał w ten sposób kościół jednonawowy, <extra_id_0> kaplicami tworzył kształt krzyża łacińskiego.	<extra_id_0> który wraz z <extra_id_1>
Je to 1826 rok naszi erë (pò <extra_id_0> rok drëdżégò tësąclecô, 26. rok XIX stolatégò, 6. rok 3-égò dzesãcolecô XIX stolatégò.	<extra_id_0> narodzenim Christusa), 826. <extra_id_1>
Działa na podstawie <extra_id_0> Ministrów Art.	<extra_id_0> ustawy o Radzie <extra_id_1>
Letni sezon turystyczny trwa przez kilka miesãcy - trudno precyzować dokładny òkres, gdyż <extra_id_0> od danegò roku.	<extra_id_0> je to zależne <extra_id_1>
Jezioro Litygajno jest stosunkowo <extra_id_0> piaszczysto-mulistym dnie.	<extra_id_0> mocno zarośnięte o <extra_id_1>
W pierwszych odcinkach zawodnik odpowiadał na 10 pytań <extra_id_0> kopert), następnie osiem, a potem na stałe wprowadzono po 5 pytań dla gracza.	<extra_id_0> (gdyż miał 10 <extra_id_1>
W <extra_id_0> stanął na podium, z czego siedem razy na najwyższym stopniu.	<extra_id_0> ciągu sezonu trzynastokrotnie <extra_id_1>
Postać tragiczna, <extra_id_0> swoisty urok.	<extra_id_0> posiadająca jednak wielki <extra_id_1>
Żużulkô marësznëch lëdzy do spikù i <extra_id_0> ze spikù.	<extra_id_0> jich bùdzy welësznëch <extra_id_1>
Nowością, która na <extra_id_0> GTO z 1970 roku, był system Vacuum Operated Exhaust (VOE), aktywowany przez małą dźwigienkę we wnętrzu podpisaną "EXHAUST."	<extra_id_0> krótko zagościła w <extra_id_1>
; òno <extra_id_0> Singapùr.	<extra_id_0> òbjimô blós gard <extra_id_1>
Dëbeltpùklati kamél <extra_id_0> – to je ôrt wiôldżégò suska z rodzëznë kamélowatëch.	<extra_id_0> (Camelus ferus L.) <extra_id_1>
Poza nielicznymi konstrukcjami wykorzystującymi ultradźwięki do wzbicia aerozolu, <extra_id_0> metalowe elementy grzewcze otoczone watą z bawełny nasączoną płynem.	<extra_id_0> większość e-papierosów wykorzystuje <extra_id_1>
Od samego początku <extra_id_0> regat eliminacyjnych Frans Maas Cup Puchar Polski Jachtów Kabinowych.	<extra_id_0> ujęte w cyklu <extra_id_1>
Od 2017 roku zasiada w międzynarodowej Radzie <extra_id_0> naukowego „	<extra_id_0> Naukowej polskiego czasopisma <extra_id_1>
Rogùtka (Cerastium L.) – <extra_id_0> roscënów z rodzëznë granôtkòwatëch (Caryophyllaceae).	<extra_id_0> to je szlach <extra_id_1>
Òn biwô ze <extra_id_0> miec dzél zrobiony z drewna.	<extra_id_0> stali ë mòże <extra_id_1>
Fanów <extra_id_0> tylko jej głos, ale i powabny wygląd.	<extra_id_0> piosenkarki przykuwa nie <extra_id_1>
W ji òkòlim <extra_id_0> pòmalni.	<extra_id_0> czas płënie corôz <extra_id_1>
Òn mô <extra_id_0> je colemało szarobrunô.	<extra_id_0> gładką kóra, chtërna <extra_id_1>
Mariô <extra_id_0> "radioaktiwnosc".	<extra_id_0> ùsôdzyła téż słowo <extra_id_1>
Dzél tekstów Kabaretu <extra_id_0> ksążeczce Pióro do gilgania/Pióro do gëldzeniô (Gdiniô 2004, wëdôwizna Region).	<extra_id_0> béł wëdrëkòwóny w <extra_id_1>
W opisie obok <extra_id_0> informacje, że są to zdjęcia z sesji nagraniowych do piątej płyty zespołu.	<extra_id_0> zdjęcia pojawiły się <extra_id_1>
Ostatnim pastorem przed <extra_id_0> Karl Fridrich.	<extra_id_0> 1945 był tu <extra_id_1>
Organizację po raz kolejny zdelegalizowano, a wielu jej <extra_id_0> przez niemieckich nazistów.	<extra_id_0> członków zostało zamordowanych <extra_id_1>
W 1969 <extra_id_0> pò prôwdze repòrtaż o wòjnie w Biafrze pt.	<extra_id_0> napisôł ksążkã, a <extra_id_1>
Wraz z <extra_id_0> tracił swoją władzę.	<extra_id_0> upływem czasu król <extra_id_1>
Òd 2003 rokù działô Fùndacjiô <extra_id_0> Tischnera,chtërna mô za cél òchronã swégò swégò dobëtkù patrôna ë kòntiwanié nôjwôżniejszëch jégò mëslé.	<extra_id_0> Instytut Mëślé Józwa <extra_id_1>
W nim <extra_id_0> gnôt.	<extra_id_0> je jeden łësënowi <extra_id_1>
Metoda jest szczególnie polecana <extra_id_0> refleksję i powtórną analizę własnych działań.	<extra_id_0> dorosłym ponieważ umożliwia <extra_id_1>
W <extra_id_0> je tak: "Ale kò òkróm tegò teatru kłóniającëch so òbrôzów, je w nym môlu widzec pòbòżnotã kaszëbsczégò lëdu i jegò przëwiązanié do pielgrzimkòwi tradicëji."	<extra_id_0> lëteraturze z tim <extra_id_1>
Stratowùlkane mają wësoczé, stromé <extra_id_0> kòl 30 stopniów, np.	<extra_id_0> stożczi (kąt nachileniô <extra_id_1>
Martwé Mòrze MM w <extra_id_0> HaMelah je ok.	<extra_id_0> j. Hebrajsczim Yam <extra_id_1>
Aby ustalić gdzie znajdują się antypody danego miejsca należy najpierw <extra_id_0> geograficzne.	<extra_id_0> znać jego współrzędne <extra_id_1>
Ashanti <extra_id_0> (ùr.	<extra_id_0> Shaquoya Douglas, <extra_id_1>
Ten Ùniwersytet <extra_id_0> m.jin. dlô kaszëbiznë.	<extra_id_0> je wôżnym môlã <extra_id_1>
Znóné są ji tekstë: <extra_id_0> i Wdôr (1996).	<extra_id_0> Ùja Aùgùst (2004) <extra_id_1>
Pòzwa wsë <extra_id_0> Miłosz.	<extra_id_0> pòchôdô òd miona <extra_id_1>
Sami timczasã – z <extra_id_0> – szlë do cepłi chëcze.	<extra_id_0> trzôskã jakno gònizna <extra_id_1>
Jinszé <extra_id_0> reżan, lipc.	<extra_id_0> kaszëbsczé miona: miodownik, <extra_id_1>
Zwycięzcy biegu na dystansie długim (od lewej): Rosjanin Andrey Khramov, Szwajcar Matthias Merz <extra_id_0> Nordberg.	<extra_id_0> oraz Norweg Anders <extra_id_1>
Od 1919 do 1920 był <extra_id_0> na konferencji państw Ameryki Środkowej.	<extra_id_0> sekretarzem delegacji Kostaryki <extra_id_1>
Częstym <extra_id_0> fantastycznonaukowym jest ogromny kataklizm.	<extra_id_0> motywem w filmie <extra_id_1>
Pierszéństwò bë <extra_id_0> co leżą w enklawach abò półenklawach lasowëch i gruńtë, co łączą lasowé kãpë.	<extra_id_0> miałë miec gruńtë, <extra_id_1>
Bracki Grand Champion 2011 uwarzony został na podstawie receptury zwycięskiego piwa na <extra_id_0> 2011, która jedynie dostosowana została do przemysłowego warzenia.	<extra_id_0> KPD w Żywcu <extra_id_1>
Je to <extra_id_0> erë (pò narodzenim Christusa), 972. rok pierszégò tësąclecégò, 72. rok X stolatégò, 2 rok 8-égò dzesãcolecô X stolatégò.	<extra_id_0> 972 rok naszi <extra_id_1>
Mike <extra_id_0> producent nagrań, wydawca, menadżer.	<extra_id_0> Varney – amerykański <extra_id_1>
W XV wieku obronny zamek był budowlą drewnianą z wieloma basztami, <extra_id_0> fosą, która dawała gwarancję bezpieczeństwa dla mieszkańców.	<extra_id_0> wałami i otoczona <extra_id_1>
Gméw <extra_id_0> gwar.	<extra_id_0> (abò téż: Gniéw; <extra_id_1>
Pierszé wiadło <extra_id_0> z 1314 rokù.	<extra_id_0> ò Tłuczewie pòchôdô <extra_id_1>
Są dwie mòżnotë trafieniô - <extra_id_0> w 1 òd 5 òbrãczów na brómce.	<extra_id_0> w brómkã abò <extra_id_1>
Uprzednio gmach był także siedzibą Islandzkiej <extra_id_0> muzealnej, a następnie Galerii Narodowej.	<extra_id_0> Biblioteki Narodowej, kolekcji <extra_id_1>
Język kabyle, <extra_id_0> od zagrożenia arabizacją, przyjął alfabet łaciński.	<extra_id_0> by wyodrębnić się <extra_id_1>
Druga generacja HB20 przeszła ewolucyjny zakres <extra_id_0> do poprzednika, zachowując podobne proporcje nadwozia przy jednocześnie bardziej awangardowym wyglądzie.	<extra_id_0> zmian w stosunku <extra_id_1>
Przez <extra_id_0> w Paryżu, tam też prowadziła literacki salon.	<extra_id_0> większość życia mieszkała <extra_id_1>
Szëmôłd <extra_id_0> wòjewódzczi dardżi 25px.	<extra_id_0> je na szlachù <extra_id_1>
Family Fun Stuff) – nowa kolekcja ubrań, <extra_id_0> akcesoriów dla Simów.	<extra_id_0> mebli, dekoracji i <extra_id_1>
Dali <extra_id_0> pózni Jitalską.	<extra_id_0> zwanożił Szwajcarską, a <extra_id_1>
Rzëpòt (Pertussis) - <extra_id_0> lëdzy.	<extra_id_0> je chòroscą ù <extra_id_1>
Odlot jest pierwszym <extra_id_0> Pixar.	<extra_id_0> filmem 3D studia <extra_id_1>
Serbiô mô dwie <extra_id_0> na nordze i Kòsowò i Metochiã na pôłnim.	<extra_id_0> aùtonomiczné prowincje: Wojwodinã <extra_id_1>
Najpopularniejszym utworem grupy T-raperzy znad Wisły jest <extra_id_0> pozycja z Pocztu Królów Polskich, opowiadająca o historii pierwszego władcy Polski.	<extra_id_0> „Mieszko” - pierwsza <extra_id_1>
Wada pòstawë cała to pòdług Wolańsczégò zmianë ùtrwalony w gnôtowim ùkładze, fele <extra_id_0> téż wërwark remnygò ùkształtowaniô cała.	<extra_id_0> „trzymaniô sã”, to <extra_id_1>
Jest odmianą plonującą <extra_id_0> obficie.	<extra_id_0> regularnie i bardzo <extra_id_1>
Plemiona <extra_id_0> parając się głównie zbieractwem i myślistwem.	<extra_id_0> te zamieszkują obozy <extra_id_1>
Òn òd 1964 rokù béł nôleżnika Pòlsczi Zjednóny Robòtniczi Partie, ale nie ùdżibôł sã z òrądze procemnot, a béł dbë, że nadińdze czas, <extra_id_0> kaszëbiznë zdżiną.	<extra_id_0> czej zôwadë rozwijani <extra_id_1>
Czedë w 1974 zabidowano ji <extra_id_0> wëmagałbë sceniécznôj jedinosce, Adjani odmëslęła są z teatru i wrócyła do filmu.	<extra_id_0> długòlãtni kòntrakt, chtëren <extra_id_1>
Ma tutaj swoją siedzibę przeworski Oddział PTTK i Towarzystwo <extra_id_0> Regionu.	<extra_id_0> Miłośników Przeworska i <extra_id_1>
