Pierszé <extra_id_0> jaczi pòzwã pòdónô bëła w fòrmie "Poblocz" pòchôdô z 1401 rokù.	<extra_id_0> wiadło ò wsë, <extra_id_1>
Jich <extra_id_0> prostonórtowi abò òwalny.	<extra_id_0> przekrój mòże bëc <extra_id_1>
We wëpòwiedzenim agensã <extra_id_0> sytuacji, chtërny przeprowadzô dzejanié abò sprawùje kòntrolã nad sytuacją.	<extra_id_0> je aktiwny ùczãstnik <extra_id_1>
Szpanijczicë w <extra_id_0> wcyg méstrowie swiata w kòpóną balã.	<extra_id_0> 2014 rokù są <extra_id_1>
Znónym zachòwonim bòcóna je chùdczi kłaponi <extra_id_0> do tëłu i òpùszczônié głowë.	<extra_id_0> dziobem, wëkrącônié karkù <extra_id_1>
Kóńsczi gzyk (Gasterophilus intestinalis) - to je <extra_id_0> rodzëznë gzykòwatëch, a pòdrodzëznë Gasterophilinae.	<extra_id_0> ôrt òwada z <extra_id_1>
Kòrejańsczi <extra_id_0> mòrfologiji ë òrtu SOV w syntakse.	<extra_id_0> je aglunatiwny w <extra_id_1>
Długò <extra_id_0> zmarł w nãdzë i zapòmnieniu, pòchòwany w grobie dla ùbòdżich.	<extra_id_0> wierzono, że Mozart <extra_id_1>
Pierszé wiadło ò Strzépczu bëło zapisané w 1314 rokù, ale parafia <extra_id_0> tu rëchli - na przełómaniu 12. ë 13. stalatégò.	<extra_id_0> na gwës pòwsta <extra_id_1>
Jegò ùżëwô <extra_id_0> krôjach.	<extra_id_0> sã w wiele <extra_id_1>
Stąd widzec je Cëpel <extra_id_0> Hôwinga.	<extra_id_0> Hélsczi i wòdë <extra_id_1>
Ùrodzył sã <extra_id_0> r. w Krakòwie.	<extra_id_0> 30 gòdnika 1970 <extra_id_1>
Maniewid - <extra_id_0> chtëren sã sóm zapôliwô.	<extra_id_0> cos nibë òdżin, <extra_id_1>
Balladô "Bohemian Rhapsody" <extra_id_0> dla Queen w 1975 rokù i je do dzys ùważanô jako jednô z nôjlepszych pjesnj na swecie.	<extra_id_0> dobëłô midzënôrodna pòpùlarnotã <extra_id_1>
Parafiô p.w. Bòżégò <extra_id_0> - je òd 1977 rokù.	<extra_id_0> Cała w Gduńsku <extra_id_1>
Paweł z Tarsu, <extra_id_0> Saul, Szaul, heb.	<extra_id_0> Paweł Apòstoł, Szaweł, <extra_id_1>
Òna parłãczi sã mët przëpisanim ùdanémù sprôwianégò <extra_id_0> przepisanié mô czësto prowizorny karaktér.	<extra_id_0> zlecziństwa, leno no <extra_id_1>
Kaszket <extra_id_0> czôpka z nëbą dlô chłopów.	<extra_id_0> – to je <extra_id_1>
Są òne pòdług kluczowich słów <extra_id_0> pùzdni rozbùdowiwac.	<extra_id_0> zortowóne, chtërne jidzé <extra_id_1>
Nôwiksze <extra_id_0> (27 330 tës.	<extra_id_0> to: Arabsczi Półòstrów <extra_id_1>
W ji òbrëmienim są <extra_id_0> Brusë, dzél gminów Chònice, Kònôrzënë, Przechlewò i Rzeczenica.	<extra_id_0> gminë Kòczała, Lëpnica, <extra_id_1>
Smiérc przerwała robòtã Mozarta <extra_id_0> Requiem.	<extra_id_0> nad mszą żałobną <extra_id_1>
Pò egzaminie dozdrzelałotë mógł w 1862 <extra_id_0> w Dëchòwny Seminarëji w Pelplinie.	<extra_id_0> rokù zacząc sztudérowanié <extra_id_1>
Dlôte że je pòmalny i mało skrãtny, nie rozmieje <extra_id_0> głãbszich wëkòpónëch dołów.	<extra_id_0> samòstojno wińc z <extra_id_1>
W Pòlsce òd 1958 rokù tegò òbrzészkù ni ma, równak <extra_id_0> przez pòla gbùr mùszi uprawiac.	<extra_id_0> rowë, co jidą <extra_id_1>
To zelé <extra_id_0> pòprawieniô trawieniô.	<extra_id_0> je pòmòcné do <extra_id_1>
Dlôte, jëż Krajnô leża na zemiach wëstôwiónëch na <extra_id_0> rozwinãłë sã tuwò wikszé miastowé westrzódczi.	<extra_id_0> czãsté wòjnë nie <extra_id_1>
Ògardowi <extra_id_0> wёniku skrzëżowaniô rozmaitich zortów.	<extra_id_0> lëpin pòwstôł we <extra_id_1>
Terôczas <extra_id_0> wies.	<extra_id_0> gbùrskô <extra_id_1>
Jakno <extra_id_0> „	<extra_id_0> warijant lëtrë <extra_id_1>
Procëmnô - ja piãknô, mô <extra_id_0> sygają jaż do nogów.	<extra_id_0> smùkłé cało, klatë <extra_id_1>
Za jegò czasòw Pòlskô dostała nazôt całé <extra_id_0> chtërnë më stracëlë za panowaniégò Henryka Walezego na rzecz Rusёjё.	<extra_id_0> Inflntё i Płock <extra_id_1>
W 1947 rokù w Ethel Barrymore Theatre wëstãpił janko Stanley <extra_id_0> Tennessee Williamsa A Streetcar Named Desire.	<extra_id_0> Kowalski w pòkôzkù <extra_id_1>
Jak chtos <extra_id_0> gromicą, żebë mù swiécëła òb drogã na drëdżi swiat.	<extra_id_0> ùmiérô zapôliwają mù <extra_id_1>
Jegò bëłë materiałë ò <extra_id_0> i zemi dlô Stowôrë Dzejów i Stôrożëtnoscy Pòmòrzô w Szczecënie.	<extra_id_0> Kaszëbach – lëdzach <extra_id_1>
Je to 1794 rok naszi erë (pò narodzenim Christusa), 794. rok drëdżégò tësąclecô, 94. rok <extra_id_0> rok 10-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> XVIII stolatégò, 4. <extra_id_1>
Art <extra_id_0> epoki.	<extra_id_0> Deco i ti <extra_id_1>
Rockabilly je wczasną <extra_id_0> Rolla.	<extra_id_0> fòrmą Rock 'n' <extra_id_1>
Chòszczka abò kòcy ògónk (Equisetum arvense) – to je roscëna <extra_id_0> (Equisetaceae).	<extra_id_0> z rodzëznë chòszczkòwatëch <extra_id_1>
Òstatnym dniã jegò żëcô béł <extra_id_0> rokù.	<extra_id_0> 16 lëstopadnik 1939 <extra_id_1>
Czedës <extra_id_0> niégò wôżną robòtą.	<extra_id_0> elektrifikacjô bëła dlô <extra_id_1>
Las je tej nôwôżniészim dzélã biologiczny równowadżi Zemi, co téż rozsądzywô ò zdrowim i żëcym kòżdégò człowieka, dze je wiele roscënów, grzëbów, a zwierzãt <extra_id_0> téż nôbògatszô bòrda biologiczny rozmajitoscë.	<extra_id_0> i mikroòrganizmów, a <extra_id_1>
Nôbarżi <extra_id_0> orzechë, òdpôdczi.	<extra_id_0> rôd jedzą semiona, <extra_id_1>
Slayer je thrash <extra_id_0> Huntington Beach, California.	<extra_id_0> metalowé karno z <extra_id_1>
Terczasnie w kaplëcë je tczonô Jiwerskô Jikòna Matczi Bòsczi <extra_id_0> chtërnã pòswiãcył wrocławsko-szczecëńsczi prawòsławny biskùp.	<extra_id_0> ( Niebiańsczi Brómë), <extra_id_1>
Gmina <extra_id_0> (	<extra_id_0> Sëlëczëno <extra_id_1>
Do gazétë <extra_id_0> a pòdpisywôł sã „Silence Dogoood”.	<extra_id_0> krëjamno pisôł Benjamin, <extra_id_1>
Samnica <extra_id_0> abò krémòwoszari jaja, gąsto pòkrëti szarobrunëma plachckamë.	<extra_id_0> skłôdô 3-4 zelonkawoszari <extra_id_1>
Rosce nôlepié na stanowiszczach òsłoniãtëch <extra_id_0> letkò zacymnionych.	<extra_id_0> òd słuńca i <extra_id_1>
Prawòsławnô cerkwiô wspòminô mãczenicã <extra_id_0> gòdnika, tj.	<extra_id_0> Katarzënã 24 lëstopadnika/7 <extra_id_1>
Dzysô <extra_id_0> sromô, że je Łemkã.	<extra_id_0> nicht sã nie <extra_id_1>
Pòwstało òno w 1984 rokù w Seattle, Washington z jinicjatiwë <extra_id_0> Kim Thayil (gitara), Ben Shepherd (basowô gitara) ë Matt Cameron (perkùsëjô).	<extra_id_0> Chris Cornell (spiôw/gitara), <extra_id_1>
Je to jakbë "ùzupełnienié" Mszë <extra_id_0> gòdzënë dnia - przërëchtowanié do ni abò ji przedłużenié.	<extra_id_0> sw. na wszëtczi <extra_id_1>
Zniszczonô òb noc z <extra_id_0> rokù.	<extra_id_0> 18/19 gòdnika 1944 <extra_id_1>
Pëszny <extra_id_0> turkùswowi, chtëren na cemnym spòdlim przédnégò dzélu cała mô mòdré pónktë.	<extra_id_0> je tpzw. padalc <extra_id_1>
Òsoblëwò czãsto spòtikómë jã <extra_id_0> sandrowëch.	<extra_id_0> na piôszczëstëch òbéńdach <extra_id_1>
Historëczné centróm <extra_id_0> na lëstã swiatowi kùlturny spôdkòwiznë UNESCO.	<extra_id_0> gardu je wpisóné <extra_id_1>
Bùczënka (Veronica dillenii) <extra_id_0> roscëna z rodzëznë przëdróżnikòwatëch (Plantaginaceae).	<extra_id_0> - to je <extra_id_1>
Òsoblëwie wiele dzyrzkòscë mùszôł pòkazac òbczôs <extra_id_0> òd 1939 rokù nie dôwelë Mù pòkù.	<extra_id_0> wòjnë, czej Miemcë <extra_id_1>
To biwają <extra_id_0> balczi.	<extra_id_0> szlagùtë dobré na <extra_id_1>
Antonim - to je leksem jaczé mȏ procëmny znaczënk; <extra_id_0> òkresliwȏ skrȏwné wȏrtnotë abò jaczis znanczi.	<extra_id_0> hewò słowò co <extra_id_1>
Króm tegò gbùrził, òbrôbiając bawełnã, <extra_id_0> Whiskey.	<extra_id_0> ë przëdôwôł domôcą <extra_id_1>
W latach 1989–1994 bëła związóna z Danielem Day-Lewisem, z chtërnym mô syna Gabriela-Kane'a Day Lewisa <extra_id_0> 1995).	<extra_id_0> (ùr. 9 kwietnia <extra_id_1>
Do <extra_id_0> 27 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Je to 928 rok naszi erë (pò narodzenim Christusa), 928. rok pierszégò tësąclecégò, 28. rok X stolatégò, 8. <extra_id_0> X stolatégò.	<extra_id_0> rok 3-égò dzesãcolecô <extra_id_1>
Dillo chôdô przede wszëtczim na <extra_id_0> platfòrmach ë òstôł zjiscony pòd licencëją GPL, dô równak téż ju jaczis czas wersëjã dlô Windowsa.	<extra_id_0> Unixu ë òdprowôdnëch <extra_id_1>
Ji pierszi hit „Pòtrzébny je drëch” <extra_id_0> jãzëkù.	<extra_id_0> béł w kaszebszczim <extra_id_1>
Gąsewnica (Orthilia) <extra_id_0> szlach roscënów z rodzëznë wrzosowatëch (Ericaceae Juss.).	<extra_id_0> – to je <extra_id_1>
Tu <extra_id_0> jak np.	<extra_id_0> żëją taczi ptôchë <extra_id_1>
Francëszk z Asëżu je patrónã: albertinów, francëszkanów, kapùcynów, francëszkanów <extra_id_0> klarisek, kòletanek (założônëch przez św.	<extra_id_0> kònwentualnëch, bernardinók, kapùcinek, <extra_id_1>
Na niebiesczich całach zbùdowónych w <extra_id_0> czili lodowich ksãżëcach planetów a téż zapewno na plutoidach mògą wëstãpòwac wùlkanë lodowé, tzw.	<extra_id_0> wiãszoscë z lodë, <extra_id_1>
Zlepieńcowé <extra_id_0> jez.	<extra_id_0> grotë kòl <extra_id_1>
Jak òni <extra_id_0> tej trëma z matka spadła z wòza òd tegò trzãseniô.	<extra_id_0> bëlë bliskò Lëpùsza, <extra_id_1>
Goguryeo bëło w tim czase <extra_id_0> całowny czas zapëzglëną w wòjnë z chińsczima dinastëjami Sui ë Tang.	<extra_id_0> nôwikszą mòcą, leno <extra_id_1>
Zwiksza <extra_id_0> na mëslë editorã tekstu.	<extra_id_0> mô sã równak <extra_id_1>
Pisôk — przërëchtënk do pisaniô na papiorze, w chtërnym pisarsczim materiałem je lejny tint, <extra_id_0> cëskã mòcë grawitacji przez kapilarã do metalowégò piórka.	<extra_id_0> co scékô pòd <extra_id_1>
Jeże <extra_id_0> Scop.) - wielelatnô roscëna z rodzëznë astrowatëch.	<extra_id_0> (Cirsium arvense (L.) <extra_id_1>
Kaligrafiô <extra_id_0> pisma.	<extra_id_0> – kùńszt starownégò <extra_id_1>
Zanokczëca <extra_id_0> to je zariwnô chòrosc kòl paznokca.	<extra_id_0> (łac. paronychia) - <extra_id_1>
Do <extra_id_0> 57 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Gduńsczi <extra_id_0> (	<extra_id_0> kréz <extra_id_1>
Tëreckô sënogarlëca (Streptopelia decaocto) - <extra_id_0> strzédnégò ptôcha z rodzëznë gòłąbkòwatëch.	<extra_id_0> to je ôrt <extra_id_1>
To bëła <extra_id_0> latach 1309–1466.	<extra_id_0> krzëżackô stolëca w <extra_id_1>
Rusczé <extra_id_0> Il-Sunga jakno prémierã Nordowi Kòreji.	<extra_id_0> zarôzkù ùsôdzelë Kim <extra_id_1>
Je to 1921 rok naszi erë (pò narodzenim <extra_id_0> drëdżégò tësąclecô, 21. rok XX stolatégò, 1. rok 3-égò dzesãcolecô XX stolatégò.	<extra_id_0> Christusa), 921. rok <extra_id_1>
Òn <extra_id_0> SiO2.	<extra_id_0> mô chemiczny wzór <extra_id_1>
Trzëmają sę <extra_id_0> wòd.	<extra_id_0> na wiéchrzëni stojącô <extra_id_1>
Òna mòże miec <extra_id_0> bùdce.	<extra_id_0> gniôzdo w lãgòwi <extra_id_1>
W <extra_id_0> m.jin. ò kaszëbiznie.	<extra_id_0> jegò kronice stoji <extra_id_1>
Ji <extra_id_0> mòżlëwi.	<extra_id_0> lékarzenié je <extra_id_1>
Trzeba téż tak <extra_id_0> tim terenie, żebë letkò mógł wszãdze dojachac, przede wszëtczim w przëtrôfkù pòżaru.	<extra_id_0> rëchtowac drodżi na <extra_id_1>
Zôpôdnopòmòrsczi biskùpi, czerëjącë sã rësznotą christianiznową i parłãczącë jã z wnożëną nachôdającégò lëdztwa - kòlonizacją na miemiecczim prawie <extra_id_0> równak miemczëznie.	<extra_id_0> - pierszëznã dôwelë <extra_id_1>
Mòże w nich <extra_id_0> chce.	<extra_id_0> biegac kòżdi chto <extra_id_1>
Bez to naczãło sã jegò drëdżé żëcé, równo brzadowné jakno pierszé <extra_id_0> dérëje.	<extra_id_0> - ë wcyg <extra_id_1>
Drëgô <extra_id_0> do Pòmòrsczi téż przez Miemców.	<extra_id_0> nieczedë je wrechòwanô <extra_id_1>
D.O.A. znakùją bezùgòdowé politiczné wëpòwiésce sparłączoné z spòlecznima témama jak z antiglobalizmã, antirasizmã czë téż wòlnotą słowa, co je baro dokładno <extra_id_0> całim jich ùsôdztwie.	<extra_id_0> czëc ma w <extra_id_1>
W chrzescëjańsczi ikònografii pòznakama swiãtégò Antóna są: ksãga, lelijô- òznôczô czëstosc, serce, òdżin – symbòl <extra_id_0> brót.	<extra_id_0> gòrlëwòscë, òseł, rëba, <extra_id_1>
Wëstãpùje na widzałich festiwalach, <extra_id_0> Sopot.	<extra_id_0> jak Opole czë <extra_id_1>
Padëmak to <extra_id_0> pòlu.	<extra_id_0> je zelëskò w <extra_id_1>
Abrazëjô - je <extra_id_0> erozjowich dzejników.	<extra_id_0> to jeden z <extra_id_1>
Joanna Krupa (ùr. <extra_id_0> je pòlskò-amerikańskô teatrownica.	<extra_id_0> 1979 rokù) to <extra_id_1>
Łacyńsczi jãzëk (abò łacëzna, łacëna; łac. lingua <extra_id_0> jãzëk z pòdrodzëznë italsczich jãzëków.	<extra_id_0> Latina) – jindoeùropejsczi <extra_id_1>
Òna <extra_id_0> Testameńce.	<extra_id_0> je w Stôrim <extra_id_1>
Pierszi atomòwi zédżer <extra_id_0> ròkù.	<extra_id_0> powstôł w 1948 <extra_id_1>
W wiesze rozpierzchłej wietewki bòczne są ùstawione pòd wszelejaczima kątama, co warunkùje <extra_id_0> (rozstrzelona, krzaczasta, zwisła abò sztywna- wzniesona).	<extra_id_0> jiny sztółt wiéchë <extra_id_1>
Bëłë ùsztiwnióné dennikama ë wiązadłama srãbù, jaczé ze sobą <extra_id_0> (je to pòmión słowiańsczi techniczi bùdowë bôtów).	<extra_id_0> sã nie stikałë <extra_id_1>
Je <extra_id_0> pòliticznym ë gòspòdarzczim môlã.	<extra_id_0> téż wôżnym ùczebnym, <extra_id_1>
Rekònstrukcja szczãczi zwiérzãca <extra_id_0> òna za môłą sëłã nacëskù do zabica òwcë.	<extra_id_0> pòkazëje, że miała <extra_id_1>
Òskòwi <extra_id_0> – to je grzib z rodzëznë bòrzónowatëch.	<extra_id_0> kòzôk (Leccinum aurantiacum) <extra_id_1>
Jôdny lińcuch - <extra_id_0> òrganizmów ùstawionëch tak, że kòżdi przédny je pòdstawą jôdë pòsobny.	<extra_id_0> to je réga <extra_id_1>
Przez nierówną akùmùlacjã i przesuwanie sã ùscowëch remionów rzéczi, jak téż <extra_id_0> grùntowinë teren nie je idealno plaskati.	<extra_id_0> przez ùsztôłcenié plejstoceńsczi <extra_id_1>
Zwëczajnô bania (Cucurbita <extra_id_0> to je jednorocznô roscëna z rodzëznë baniowatëch.	<extra_id_0> pepo L.) – <extra_id_1>
Bùkwita (Fagopyrum <extra_id_0> to je roscëna z rodzëznë dërdestowatëch.	<extra_id_0> esculentum Moench) - <extra_id_1>
Wòjcecha - biskùpa - bëła w tich <extra_id_0> kòscelnô (w 1000 rokù).	<extra_id_0> stronach ùtwòrzonô organizacjô <extra_id_1>
W <extra_id_0> swiãti ë identificérowôny z bòżëną Baset.	<extra_id_0> antikòwim Egipce béł <extra_id_1>
Długòsc cała wôżków òscyluje òd <extra_id_0> 19 cm.	<extra_id_0> 2 cm do <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 105 <extra_id_1>
Liczné szczegółë w Ewanielië Łikasza sugerëją, że ji aùtor pisôł dla ôòtrzeb chrzescyjańsczi gimë złożony z <extra_id_0> pògaństwa.	<extra_id_0> wiernëch nawróconych z <extra_id_1>
Kamienicczé <extra_id_0> (	<extra_id_0> Jezoro <extra_id_1>
Są <extra_id_0> zwiérząt.	<extra_id_0> téż zabôwczi dlô <extra_id_1>
Ale przë dostateczno <extra_id_0> (temperatura wënôszô tedë kòl 10 miliardów Kelwinów), parłãczą sã òne z protonama, twòrzącë neùtronë.	<extra_id_0> wiôldżi energii elektronów <extra_id_1>
Òni gôdale jesz w <extra_id_0> jãzëkiem.	<extra_id_0> XVIII w. pòlabsczim <extra_id_1>
Kóńsczi <extra_id_0> L.) - to je roscëna z rodzëznë Poaceae.	<extra_id_0> jiczmiónk (Hordeum murinum <extra_id_1>
Gimnasticzczi, króm cwiczënków rozcygającëch i gibkòscowëch, dlô lepszi szëkòwnoscë i równowadżi a téż koordynacji ruchowej i rytmicznej cwiczą tuńc <extra_id_0> tuńca charakteristicznégò.	<extra_id_0> klasyczny z elementama <extra_id_1>
Mléczôk (Sonchus oleraceus L.) – to je <extra_id_0> astrowatëch (Asteraceae).	<extra_id_0> roscëna z rodzëznë <extra_id_1>
Z puńktu widzeniô żëdzëznë i chrzescëjaństwa apòkrifama <extra_id_0> nie òstałë przëjãté do kanonu swiãtëch pism, abò bëti jakbë w pewny procëmnoce do kanonu.	<extra_id_0> zwano pisma, chtërné <extra_id_1>
Chojnice <extra_id_0> Zrzeszenie Kaszubsko-Pomorskie, 1984.	<extra_id_0> ; Gdańsk : <extra_id_1>
Wielëna <extra_id_0> mm òb rok.	<extra_id_0> òpadënków sygô 748 <extra_id_1>
Jedną z przëczën bëła chãc òderwaniégò sã òd wëdowizne Sony <extra_id_0> wzica całi robòtë nad platama z swòje rãce.	<extra_id_0> sparłączonô z chãcą <extra_id_1>
Mô założoné téż pierszi <extra_id_0> ùniwersytet, jaczi nosy dzysô jegò miono.	<extra_id_0> we Westrzédny Eùropie <extra_id_1>
Nôwikszi transpòrtowy wãzeł, a <extra_id_0> kùlturalné i nôùkòwé centrum państwa.	<extra_id_0> téż pòliticzné, gòspòdarczé, <extra_id_1>
Sopòt <extra_id_0> pòl.	<extra_id_0> (téż Sopòtë, <extra_id_1>
Szwedzkô kòniczëna <extra_id_0> to je roscëna z rodzëznë bòbòwatëch.	<extra_id_0> (Trifolium hybridum) - <extra_id_1>
Internet je swiatową <extra_id_0> sobą kòmpùtrowëch séców.	<extra_id_0> systemą sparłãczonëch ze <extra_id_1>
Narôstającé napiãcé ë <extra_id_0> òba krôjama doprowôdzëłë do domôcy kòrejańsczi wòjnë.	<extra_id_0> greńcowi biôtczi midze <extra_id_1>
Gromadzy bògatą słowiznã z całëch <extra_id_0> tës.	<extra_id_0> Kaszëb (kòl 61 <extra_id_1>
Niechtërny geòmòrfòlogòwie dopisëją naszim pradolëznòm jinszą genezã; bierzą <extra_id_0> òstatnym zlodzenim.	<extra_id_0> je fòrmë przed <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 147 <extra_id_1>
Òbczas Pierszi gòdzënë – Prote Hora (kòle szósti z <extra_id_0> rozmiszlô sã ò stwòrzeniu.	<extra_id_0> rëna naszégò czasu) <extra_id_1>
W składzé niezmienno òd zôczątkù <extra_id_0> ë spiéwôcz Joey "Shithead" Keithley.	<extra_id_0> je zakłôdôż, gitarownik <extra_id_1>
Jinszé <extra_id_0> august, sërpiń.	<extra_id_0> kaszëbsczé miona: zelan, <extra_id_1>
Je mòżno, że òn w 1944 rokù zabił Miemca z <extra_id_0> sã Kurt Hagemann.	<extra_id_0> KRIPO, chtëren zwôł <extra_id_1>
Je to 882 rok <extra_id_0> narodzenim Christusa), 882. rok pierszégò tësąclecégò, 82. rok IX stalatégò, 2. rok 9-égò dzesãcolecô IX stalatégò.	<extra_id_0> naszi erë (pò <extra_id_1>
Tu <extra_id_0> klôsztór.	<extra_id_0> je <extra_id_1>
Weterinarnô medicyna <extra_id_0> òbjimô całosc wiédzë ò zdrowim ë chòroscach zwierzów, jich lékarzenim ë zascyganiém.	<extra_id_0> je ùczbą jakô <extra_id_1>
Tej roscënë są <extra_id_0> spikù.	<extra_id_0> jesz w zëmòwim <extra_id_1>
Czej <extra_id_0> padalca, mòżemë bëc gwës, że mô òn trzë lata, bò taczé mòdré znaczi na skòrze pòjawiają sã dopiérze ù starszich gadów.	<extra_id_0> ùzdrzimë taczégò nadzwëkòwégò <extra_id_1>
Je charakterizëje kòntrastowi baro <extra_id_0> głòwë.	<extra_id_0> czãsto biôłoczôrnô farwa <extra_id_1>
Òn je <extra_id_0> turistice.	<extra_id_0> brëkòwóny np. w <extra_id_1>
Je to 1790 rok naszi erë (pò narodzenim Christusa), 790. rok drëdżégò tësąclecô, 90. rok XVIII stolatégò, 10. <extra_id_0> XVIII stolatégò.	<extra_id_0> rok 9-égò dzesãcolecô <extra_id_1>
W Cechòlëbie béł lëtersczi <extra_id_0> dłëgszégò czasu òn je rozebróny.	<extra_id_0> kòscół, ale òd <extra_id_1>
Wilno òd tegò <extra_id_0> wiele nôrodów.	<extra_id_0> czasu je miastem <extra_id_1>
Jarzëbiôk (Sorbus aucuparia <extra_id_0> je drzéwiã abò wiôldżi czierz z rodzëznë różowatëch.	<extra_id_0> L.) – to <extra_id_1>
Téż człowiek <extra_id_0> dosc tëli robił.	<extra_id_0> przë tim miészańcu <extra_id_1>
Nôwëższą pòpùlarnoscą program <extra_id_0> latach 2000-2006.	<extra_id_0> cesził sã w <extra_id_1>
Cało Cecylii <extra_id_0> w 822 rokù w katakùmbach sw.	<extra_id_0> òsta nalazłé nierëszałé <extra_id_1>
